date,price
1987-01-05,18820.55078125
1987-01-06,18936.759765625
1987-01-07,18842.369140625
1987-01-08,18778.740234375
1987-01-09,18810.359375
1987-01-12,18669.01953125
1987-01-13,18544.05078125
1987-01-14,18784.26953125
1987-01-16,19149.630859375
1987-01-19,19188.6796875
1987-01-20,19216.119140625
1987-01-21,19429.1796875
1987-01-22,19380.509765625
1987-01-23,19456.609375
1987-01-26,19554.720703125
1987-01-27,19686.830078125
1987-01-28,19789.9296875
1987-01-29,19921.05078125
1987-01-30,20048.349609375
1987-02-02,20072.08984375
1987-02-03,19956.330078125
1987-02-04,19973.869140625
1987-02-05,19795.080078125
1987-02-06,19668.830078125
1987-02-09,19679.3203125
1987-02-10,19813.9609375
1987-02-12,19874.890625
1987-02-13,19628.869140625
1987-02-16,19531.51953125
1987-02-17,19637.9296875
1987-02-18,19881.759765625
1987-02-19,20228.08984375
1987-02-20,20080.390625
1987-02-23,19940.5
1987-02-24,20076.48046875
1987-02-25,20186.330078125
1987-02-26,20453.900390625
1987-02-27,20421.66015625
1987-03-02,20933.8203125
1987-03-03,20971.390625
1987-03-04,21031.66015625
1987-03-05,21176.029296875
1987-03-06,21105.849609375
1987-03-09,21166.400390625
1987-03-10,21214.4609375
1987-03-11,21312.9609375
1987-03-12,21470.19921875
1987-03-13,21497.94921875
1987-03-16,21415.369140625
1987-03-17,21514.73046875
1987-03-18,21705.060546875
1987-03-19,21644.3203125
1987-03-20,21657.669921875
1987-03-23,21588.25
1987-03-24,21435.30078125
1987-03-25,21472.970703125
1987-03-26,21558.7890625
1987-03-27,22026.66015625
1987-03-30,21627.5703125
1987-03-31,21566.66015625
1987-04-01,22040.1796875
1987-04-02,22367.720703125
1987-04-03,22410.849609375
1987-04-06,22586.109375
1987-04-07,22784.650390625
1987-04-08,22912.990234375
1987-04-09,22922.19921875
1987-04-10,23216.58984375
1987-04-13,22919.5390625
1987-04-14,23524.080078125
1987-04-15,23510.689453125
1987-04-16,23868.4296875
1987-04-17,23938.349609375
1987-04-20,23895.220703125
1987-04-21,23886.099609375
1987-04-22,24097.7890625
1987-04-23,24024.609375
1987-04-24,24006.369140625
1987-04-27,23072.41015625
1987-04-28,22889.859375
1987-04-30,23274.830078125
1987-05-01,23680.890625
1987-05-06,23918.560546875
1987-05-07,24207.55078125
1987-05-08,24589.23046875
1987-05-11,24608.220703125
1987-05-12,24535.849609375
1987-05-13,24363.189453125
1987-05-14,24651.439453125
1987-05-15,24729.029296875
1987-05-18,24298.98046875
1987-05-19,24077.880859375
1987-05-20,23419.599609375
1987-05-21,23754.009765625
1987-05-22,24156.7109375
1987-05-25,24582.76953125
1987-05-26,24580.869140625
1987-05-27,24539.75
1987-05-28,24433.650390625
1987-05-29,24772.390625
1987-06-01,24992.779296875
1987-06-02,24902.630859375
1987-06-03,25049.400390625
1987-06-04,25366.109375
1987-06-05,25271.30078125
1987-06-08,25523.890625
1987-06-09,25379.880859375
1987-06-10,25738.9609375
1987-06-11,25890.94921875
1987-06-12,25894.26953125
1987-06-15,25756.439453125
1987-06-16,25738.859375
1987-06-17,25929.419921875
1987-06-18,25750.55078125
1987-06-19,25288.119140625
1987-06-22,24640.349609375
1987-06-23,24794.91015625
1987-06-24,24892.75
1987-06-25,25031.349609375
1987-06-26,25049.830078125
1987-06-29,24509.41015625
1987-06-30,24176.400390625
1987-07-01,24252.380859375
1987-07-02,24636.4609375
1987-07-03,24465.48046875
1987-07-06,23870.859375
1987-07-07,23816.08984375
1987-07-08,23472.419921875
1987-07-09,23755.900390625
1987-07-10,24102.990234375
1987-07-13,24118.009765625
1987-07-14,23931.529296875
1987-07-15,23969.759765625
1987-07-16,24003.609375
1987-07-17,23983.44921875
1987-07-20,23328.640625
1987-07-21,23078.359375
1987-07-22,22702.740234375
1987-07-23,23036.51953125
1987-07-24,23942.939453125
1987-07-27,24104.98046875
1987-07-28,24385.8203125
1987-07-29,24427.119140625
1987-07-30,24510.369140625
1987-07-31,24488.109375
1987-08-03,24483.8203125
1987-08-04,24172.599609375
1987-08-05,24297.150390625
1987-08-06,24658.23046875
1987-08-07,24800.94921875
1987-08-10,25119.69921875
1987-08-11,25282.970703125
1987-08-12,25560.23046875
1987-08-13,25575.740234375
1987-08-14,25494.009765625
1987-08-17,25378.880859375
1987-08-18,25344.33984375
1987-08-19,25231.58984375
1987-08-20,25396.5703125
1987-08-21,25559.1796875
1987-08-24,25754.330078125
1987-08-25,25643.390625
1987-08-26,25875.740234375
1987-08-27,25968.779296875
1987-08-28,25974.9609375
1987-08-31,26029.220703125
1987-09-01,26118.419921875
1987-09-02,25946.599609375
1987-09-03,25649.880859375
1987-09-04,25744.029296875
1987-09-07,25004.08984375
1987-09-08,25204.08984375
1987-09-09,24937.9296875
1987-09-10,24795.240234375
1987-09-11,24828.26953125
1987-09-14,24954.01953125
1987-09-16,24967.73046875
1987-09-17,24855.310546875
1987-09-18,24844.83984375
1987-09-21,24912.419921875
1987-09-22,24866.060546875
1987-09-24,24944.880859375
1987-09-25,25095.859375
1987-09-28,25837.33984375
1987-09-29,25998.0
1987-09-30,26010.880859375
1987-10-01,25721.740234375
1987-10-02,25862.44921875
1987-10-05,26018.330078125
1987-10-06,26088.970703125
1987-10-07,25952.26953125
1987-10-08,26286.75
1987-10-09,26338.76953125
1987-10-12,26284.650390625
1987-10-13,26400.630859375
1987-10-14,26646.4296875
1987-10-15,26428.220703125
1987-10-16,26366.740234375
1987-10-19,25746.560546875
1987-10-20,21910.080078125
1987-10-21,23947.400390625
1987-10-22,24404.44921875
1987-10-23,23201.220703125
1987-10-26,22202.560546875
1987-10-27,22834.9609375
1987-10-28,22577.529296875
1987-10-29,22033.890625
1987-10-30,22765.0390625
1987-11-02,23358.599609375
1987-11-04,23060.529296875
1987-11-05,22629.650390625
1987-11-06,22795.01953125
1987-11-09,22418.369140625
1987-11-10,21686.4609375
1987-11-11,21036.759765625
1987-11-12,21546.5
1987-11-13,22448.25
1987-11-16,22615.4296875
1987-11-17,22344.279296875
1987-11-18,22734.490234375
1987-11-19,22668.80078125
1987-11-20,22705.560546875
1987-11-24,22856.01953125
1987-11-25,23219.689453125
1987-11-26,23282.1796875
1987-11-27,23268.619140625
1987-11-30,22686.779296875
1987-12-01,22832.890625
1987-12-02,22915.490234375
1987-12-03,22808.16015625
1987-12-04,22602.75
1987-12-07,22586.51953125
1987-12-08,22948.33984375
1987-12-09,22885.69921875
1987-12-10,23280.83984375
1987-12-11,23035.810546875
1987-12-14,22926.279296875
1987-12-15,22846.73046875
1987-12-16,22819.419921875
1987-12-17,22899.830078125
1987-12-18,22826.970703125
1987-12-21,22956.83984375
1987-12-22,22741.01953125
1987-12-23,22693.849609375
1987-12-24,22543.369140625
1987-12-25,22120.939453125
1987-12-28,21564.0
1988-01-04,21217.0390625
1988-01-05,21575.279296875
1988-01-06,22790.5
1988-01-07,22792.130859375
1988-01-08,22872.560546875
1988-01-11,22578.4296875
1988-01-12,22625.05078125
1988-01-13,22324.990234375
1988-01-14,22603.650390625
1988-01-18,22910.19921875
